ZIP Code,Territory,TNT,UDS Zone
62523,Peru,1 Day ,6
60537,Peru,1 Day ,6
61552,Peru,1 Day ,6
61419,Peru,1 Day ,6
61258,Peru,1 Day ,6
60209,Lombard,1 Day ,2
60196,Lombard,1 Day ,2
60204,Lombard,1 Day ,2
60664,Lombard,1 Day ,2
60681,Lombard,1 Day ,2
60670,Lombard,1 Day ,2
60687,Lombard,1 Day ,2
60678,Lombard,1 Day ,2
60673,Lombard,1 Day ,2
60290,Lombard,1 Day ,2
60669,Lombard,1 Day ,2
60674,Lombard,1 Day ,2
60695,Lombard,1 Day ,2
60696,Lombard,1 Day ,2
60697,Lombard,1 Day ,2
60690,Lombard,1 Day ,2
60680,Lombard,1 Day ,2
60694,Lombard,1 Day ,2
60677,Lombard,1 Day ,2
60689,Lombard,1 Day ,2
60675,Lombard,1 Day ,2
60684,Lombard,1 Day ,2
60699,Lombard,1 Day ,2
60682,Lombard,1 Day ,2
60693,Lombard,1 Day ,2
60691,Lombard,1 Day ,2
60685,Lombard,1 Day ,2
60668,Lombard,1 Day ,2
60686,Lombard,1 Day ,2
60009,Lombard,1 Day ,2
60168,Lombard,1 Day ,2
60159,Lombard,1 Day ,2
60701,Lombard,1 Day ,2
60688,Lombard,1 Day ,2
60399,Lombard,1 Day ,2
60522,Lombard,1 Day ,2
60122,Lombard,1 Day ,2
60117,Lombard,1 Day ,2
60121,Lombard,1 Day ,2
60199,Lombard,1 Day ,2
60132,Lombard,1 Day ,2
60128,Lombard,1 Day ,2
60116,Lombard,1 Day ,2
60197,Lombard,1 Day ,2
60170,Lombard,1 Day ,2
60138,Lombard,1 Day ,2
60303,Lombard,1 Day ,2
60499,Lombard,1 Day ,2
60454,Lombard,1 Day ,2
60186,Lombard,1 Day ,2
60566,Lombard,1 Day ,2
60567,Lombard,1 Day ,2
60572,Lombard,1 Day ,2
60183,Lombard,1 Day ,2
60519,Lombard,1 Day ,2
60599,Lombard,1 Day ,2
60109,Lombard,1 Day ,2
60147,Lombard,1 Day ,2
60507,Lombard,1 Day ,2
60568,Lombard,1 Day ,2
60598,Lombard,1 Day ,2
60144,Lombard,1 Day ,2
60201,Lombard,1 Day ,2
60626,Lombard,1 Day ,2
60640,Lombard,1 Day ,2
60202,Lombard,1 Day ,2
60659,Lombard,1 Day ,2
60660,Lombard,1 Day ,2
60645,Lombard,1 Day ,2
60712,Lombard,1 Day ,2
60646,Lombard,1 Day ,2
60613,Lombard,1 Day ,2
