zipcode,sortcode,carrier,service,max_weight,shipper_id,options.injectionName,options.injectionAddress.address1,options.injectionAddress.city,options.injectionAddress.state,options.injectionAddress.zip,options.injectionAddress.country
74183,,LSO,Ground,2400,,,,,,,
74184,,LSO,Ground,2400,,,,,,,
74186,,LSO,Ground,2400,,,,,,,
74187,,LSO,Ground,2400,,,,,,,
74189,,LSO,Ground,2400,,,,,,,
74192,,LSO,Ground,2400,,,,,,,
74193,,LSO,Ground,2400,,,,,,,
74194,,LSO,Ground,2400,,,,,,,
74361,,LSO,Ground,2400,,,,,,,
74401,,LSO,Ground,2400,,,,,,,
74403,,LSO,Ground,2400,,,,,,,
74429,,LSO,Ecom,2400,,,,,,,
74467,,LSO,Ground,2400,,,,,,,
74601,,LSO,Ground,2400,,,,,,,
74604,,LSO,Ground,2400,,,,,,,
74701,,LSO,Ground,2400,,,,,,,
74730,,LSO,Ground,2400,,,,,,,
74733,,LSO,Ground,2400,,,,,,,
74738,,LSO,Ground,2400,,,,,,,
74743,,LSO,Ground,2400,,,,,,,
74801,,LSO,Ground,2400,,,,,,,
74804,,LSO,Ground,2400,,,,,,,
74820,,LSO,Ground,2400,,,,,,,
74857,,LSO,Ground,2400,,,,,,,
74953,,LSO,Ground,2400,,,,,,,
75001,,LSO,Ecom,2400,,,,,,,
75002,,LSO,Ecom,2400,,,,,,,
75006,,LSO,Ecom,2400,,,,,,,
75007,,LSO,Ecom,2400,,,,,,,
75008,,LSO,Ground,2400,,,,,,,
75009,,LSO,Ecom,2400,,,,,,,
75010,,LSO,Ecom,2400,,,,,,,
75011,,LSO,Ecom,2400,,,,,,,
75013,,LSO,Ecom,2400,,,,,,,
75014,,LSO,Ecom,2400,,,,,,,
75015,,LSO,Ground,2400,,,,,,,
75016,,LSO,Ecom,2400,,,,,,,
75017,,LSO,Ecom,2400,,,,,,,
75019,,LSO,Ecom,2400,,,,,,,
75020,,LSO,Ground,2400,,,,,,,
75021,,LSO,Ground,2400,,,,,,,
75022,,LSO,Ecom,2400,,,,,,,
75023,,LSO,Ecom,2400,,,,,,,
75024,,LSO,Ecom,2400,,,,,,,
75025,,LSO,Ecom,2400,,,,,,,
75026,,LSO,Ecom,2400,,,,,,,
75027,,LSO,Ecom,2400,,,,,,,
75028,,LSO,Ecom,2400,,,,,,,
75029,,LSO,Ecom,2400,,,,,,,
75030,,LSO,Ground,2400,,,,,,,
75032,,LSO,Ecom,2400,,,,,,,
75033,,LSO,Ecom,2400,,,,,,,
75034,,LSO,Ecom,2400,,,,,,,
75035,,LSO,Ecom,2400,,,,,,,
75036,,LSO,Ecom,2400,,,,,,,
75037,,LSO,Ground,2400,,,,,,,
75038,,LSO,Ecom,2400,,,,,,,
75039,,LSO,Ecom,2400,,,,,,,
